"Site","Year","Latitude","Longitude"
"CBCT _ 4 _ 2025",2025,"55.2057200959661","-162.71483785603"
"CBCT _ 5 _ 2025",2025,"55.2054947595601","-162.71515628736"
"CBCT _ 6 _ 2025",2025,"55.2067219519196","-162.71797751807"
"CBCT _ 7 _ 2025",2025,"55.2062295574114","-162.71422303143"
"CBCT _ 8 _ 2025",2025,"55.2062175647719","-162.71503344800"
"CBCT _ 9 _ 2025",2025,"55.2055935400568","-162.7153728436"
"CBCT _ 10 _ 2025",2025,"55.2066455842908","-162.71421592268"
"CBCT _ 11 _ 2025",2025,"55.2063719223999","-162.7160131874"
"CBCT _ 12 _ 2025",2025,"55.206621005443","-162.71392994731"
"CBCT _ 13 _ 2025",2025,"55.2053777700621","-162.71539013385"
"CBCT _ 14 _ 2025",2025,"55.2062519858715","-162.7154912374"
"CBCT _ 15 _ 2025",2025,"55.2063090471238","-162.71332912929"
"CBCT _ 16 _ 2025",2025,"55.2063962214112","-162.71396124022"
"CBCT _ 17 _ 2025",2025,"55.2047812446114","-162.71395101648"
"CBCT _ 18 _ 2025",2025,"55.2051665379492","-162.7148615933"
"CBCT _ 19 _ 2025",2025,"55.2064018674792","-162.71383299514"
"CBCT _ 20 _ 2025",2025,"55.2064556275809","-162.71370359778"
"CBCT _ 21 _ 2025",2025,"55.2059416351121","-162.7137459298"
"CBCT _ 22 _ 2025",2025,"55.2051267297441","-162.71481649695"
"CBCT _ 23 _ 2025",2025,"55.2061695413436","-162.71306997876"
"CBCT _ 24 _ 2025",2025,"55.2044865695126","-162.7151308103"
"CBCT _ 25 _ 2025",2025,"55.2049130861721","-162.71396470758"
"CBCT _ 26 _ 2025",2025,"55.2044720042611","-162.71446182487"
"CBCT _ 27 _ 2025",2025,"55.1470023254653","-162.59888678275"
"CBCT _ 28 _ 2025",2025,"55.205880683499","-162.71453007656"
"CBCT _ 29 _ 2025",2025,"55.2060615038072","-162.71349037095"
"CBCT _ 30 _ 2025",2025,"55.2062268727257","-162.7145879423"
"CBCT _ 31 _ 2025",2025,"55.2059269108837","-162.7146184846"
"CBCT _ 32 _ 2025",2025,"55.2060296892349","-162.71350161302"
"CBCT _ 33 _ 2025",2025,"55.2057214761069","-162.71529826364"
"CBCT _ 34 _ 2025",2025,"55.2048808565514","-162.71425188228"
"CBCT _ 35 _ 2025",2025,"55.2064056149333","-162.71486398069"
"CBCT _ 36 _ 2025",2025,"55.2044097069596","-162.7142283090"
"CBCT _ 37 _ 2025",2025,"55.2048745341673","-162.71425217099"
"CBCT _ 38 _ 2025",2025,"55.2068533555423","-162.71566896968"
"CBCT _ 39 _ 2025",2025,"55.2067571623966","-162.71502127026"
"CBCT _ 40 _ 2025",2025,"55.2064495635485","-162.71791286786"
"CBCT _ 41 _ 2025",2025,"55.2045880603705","-162.71467924358"
"CBCT _ 42 _ 2025",2025,"55.2060815293081","-162.71378136068"
"CBCT _ 43 _ 2025",2025,"55.2056021283471","-162.71454704920"
"CBCT _ 44 _ 2025",2025,"55.2058719265905","-162.71437204258"
"CBCT _ 45 _ 2025",2025,"55.2050353659593","-162.71454845111"
"CBCT _ 46 _ 2025",2025,"55.2063926842565","-162.71402471731"
"CBCT _ 47 _ 2025",2025,"55.2053644578849","-162.71427948946"
"CBCT _ 48 _ 2025",2025,"55.2061864364241","-162.71281172098"
"CBCT _ 49 _ 2025",2025,"55.2065458048337","-162.71448212501"
"CBCT _ 50 _ 2025",2025,"55.2056065625033","-162.71460533621"
"CBCT _ 51 _ 2025",2025,"55.205370264575","-162.71484936352"
"CBCT _ 52 _ 2025",2025,"55.2046819412185","-162.713971173"
"CBCT _ 53 _ 2025",2025,"55.2058791878411","-162.7148623502"
"CBCT _ 54 _ 2025",2025,"55.2069426693204","-162.71626673814"
"CBCT _ 55 _ 2025",2025,"55.1470810851542","-162.59900920489"
"CBCT _ 56 _ 2025",2025,"55.2066242635393","-162.71748545954"
"CBCT _ 57 _ 2025",2025,"55.2048485029086","-162.71399176979"
"CBCT _ 58 _ 2025",2025,"55.205837031512","-162.7139209509"
"CBCT _ 59 _ 2025",2025,"55.2049725724103","-162.71471239074"
"CBCT _ 60 _ 2025",2025,"55.1471476308989","-162.59905676865"
"CBCT _ 61 _ 2025",2025,"55.2068851212917","-162.71633913589"
"CBCT _ 62 _ 2025",2025,"55.2060065549784","-162.71505565121"
"CBCT _ 63 _ 2025",2025,"55.2065089581354","-162.71356365532"
"CBCT _ 64 _ 2025",2025,"55.2047324341257","-162.71427508166"
"CBCT _ 65 _ 2025",2025,"55.2062188515138","-162.71346576542"
"CBCT _ 66 _ 2025",2025,"55.2045018292324","-162.71488203143"
"CBCT _ 67 _ 2025",2025,"55.2059591740558","-162.7151167304"
"CBCT _ 68 _ 2025",2025,"55.2055860388455","-162.71394832401"
"CBCT _ 69 _ 2025",2025,"55.206526829009","-162.71439347947"
"CBCT _ 70 _ 2025",2025,"55.2060773313785","-162.71450444198"
"CBCT _ 71 _ 2025",2025,"55.206114769546","-162.71403850134"
"CBCT _ 72 _ 2025",2025,"55.2067883151353","-162.71486546931"
"CBCT _ 73 _ 2025",2025,"55.2062890143573","-162.71597777624"
"CBCT _ 74 _ 2025",2025,"55.2049116805918","-162.71540025417"
"CBCT _ 75 _ 2025",2025,"55.2059219322909","-162.71416071574"
"CBCT _ 76 _ 2025",2025,"55.2055108491825","-162.71428402820"
"CBCT _ 77 _ 2025",2025,"55.2046110499845","-162.71446060348"
"CBCT _ 78 _ 2025",2025,"55.2070714112068","-162.71702075471"
"CBCT _ 79 _ 2025",2025,"55.2047022839253","-162.71425935362"
"CBCT _ 80 _ 2025",2025,"55.2049408098174","-162.71447840854"
"CBCT _ 81 _ 2025",2025,"55.204821528208","-162.71468693705"
"CBCT _ 82 _ 2025",2025,"55.2066962723291","-162.71527130356"
"CBCT _ 83 _ 2025",2025,"55.2053791622495","-162.71454631486"
"CBCT _ 84 _ 2025",2025,"55.2063827449097","-162.71280712987"
"CBCT _ 85 _ 2025",2025,"55.2064313744089","-162.71498075378"
"CBCT _ 86 _ 2025",2025,"55.204825772089","-162.71408883061"
"CBCT _ 87 _ 2025",2025,"55.2051850445942","-162.71541584057"
"CBCT _ 88 _ 2025",2025,"55.2064006943216","-162.71613649198"
"CBCT _ 89 _ 2025",2025,"55.2050497532793","-162.7141236461"
"CBCT _ 90 _ 2025",2025,"55.205108703524","-162.71416288903"
"CBCT _ 91 _ 2025",2025,"55.2050422303002","-162.71460413741"
"CBCT _ 92 _ 2025",2025,"55.2061352784928","-162.71335431965"
"CBCT _ 93 _ 2025",2025,"55.2049491868504","-162.71546319508"
"CBCT _ 94 _ 2025",2025,"55.2066542914805","-162.71399035970"
"CBCT _ 95 _ 2025",2025,"55.1472888610736","-162.59867293018"
"CBCT _ 96 _ 2025",2025,"55.2058853398917","-162.7147333687"
"CBCT _ 97 _ 2025",2025,"55.2060874822914","-162.71377908813"
"CBCT _ 98 _ 2025",2025,"55.2067107317435","-162.71466742313"
"CBCT _ 99 _ 2025",2025,"55.2050489499855","-162.71387999236"
"CBCT _ 100 _ 2025",2025,"55.2053538461168","-162.71497956070"
"CBCT _ 101 _ 2025",2025,"55.2052862918323","-162.71481637276"
"CBCT _ 102 _ 2025",2025,"55.2060308967177","-162.71400326071"
"CBCT _ 103 _ 2025",2025,"55.2055931402325","-162.71473284259"
"CBCT _ 104 _ 2025",2025,"55.2051344870555","-162.71456654240"
"CBCT _ 105 _ 2025",2025,"55.2064118298416","-162.71814563941"
"CBCT _ 106 _ 2025",2025,"55.2060801921878","-162.71516420940"
"CBCT _ 107 _ 2025",2025,"55.2066719775402","-162.71439981528"
"CBCT _ 108 _ 2025",2025,"55.2063268798735","-162.71416046892"
"CBCT _ 109 _ 2025",2025,"55.2048155854069","-162.71416605985"
"CBCT _ 110 _ 2025",2025,"55.2068382026554","-162.7150056950"
