"Site","name","label","Year","pointname","infestationname","Count","geometry","dotcolor"
"CBOD_11_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_11","Cold Bay Oxeye Daisy",5,"c(-162.70059951129"," 55.1961066863494)"
"CBOD_12_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_12","Cold Bay Oxeye Daisy",0,"c(-162.712951661898"," 55.2066129977594)"
"CBOD_13_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_13","Cold Bay Oxeye Daisy",0,"c(-162.713252624158"," 55.2070170785534)"
"CBOD_14_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_14","Cold Bay Oxeye Daisy",0,"c(-162.713371313656"," 55.2067919236673)"
"CBOD_15_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_15","Cold Bay Oxeye Daisy",0,"c(-162.712941682791"," 55.2068329262871)"
"CBOD_16_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_16","Cold Bay Oxeye Daisy",0,"c(-162.713522636294"," 55.2066986682957)"
"CBOD_17_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_17","Cold Bay Oxeye Daisy",5,"c(-162.709620594362"," 55.2045290454266)"
"CBOD_18_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_18","Cold Bay Oxeye Daisy",0,"c(-162.713024483797"," 55.2070494903752)"
"CBOD_19_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_19","Cold Bay Oxeye Daisy",0,"c(-162.700710436367"," 55.1960991750142)"
"CBOD_2_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_2","Cold Bay Oxeye Daisy",2,"c(-162.71299354114"," 55.2070362077083)"
"CBOD_20_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_20","Cold Bay Oxeye Daisy",0,"c(-162.713651012832"," 55.2067361086282)"
"CBOD_21_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_21","Cold Bay Oxeye Daisy",0,"c(-162.71325440545"," 55.2068093622788)"
"CBOD_22_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_22","Cold Bay Oxeye Daisy",0,"c(-162.712825028793"," 55.2065848196399)"
"CBOD_23_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_23","Cold Bay Oxeye Daisy",3,"c(-162.709151244718"," 55.2044907097307)"
"CBOD_24_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_24","Cold Bay Oxeye Daisy",0,"c(-162.700569963016"," 55.1960476714557)"
"CBOD_25_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_25","Cold Bay Oxeye Daisy",1,"c(-162.713468955374"," 55.2069847530532)"
"CBOD_26_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_26","Cold Bay Oxeye Daisy",4,"c(-162.712829035285"," 55.2067888556865)"
"CBOD_27_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_27","Cold Bay Oxeye Daisy",0,"c(-162.713086120559"," 55.2069573768001)"
"CBOD_28_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_28","Cold Bay Oxeye Daisy",0,"c(-162.709805333579"," 55.2045079977108)"
"CBOD_29_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_29","Cold Bay Oxeye Daisy",0,"c(-162.713152111249"," 55.2067496096144)"
"CBOD_3_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_3","Cold Bay Oxeye Daisy",9,"c(-162.71"," 55.2)"
"CBOD_30_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_30","Cold Bay Oxeye Daisy",2,"c(-162.713072526602"," 55.2068629269071)"
"CBOD_31_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_31","Cold Bay Oxeye Daisy",0,"c(-162.797220944539"," 55.1675050994597)"
"CBOD_32_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_32","Cold Bay Oxeye Daisy",9,"c(-162.709519029727"," 55.2044691638682)"
"CBOD_33_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_33","Cold Bay Oxeye Daisy",2,"c(-162.713265985717"," 55.2069640668246)"
"CBOD_34_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_34","Cold Bay Oxeye Daisy",9,"c(-162.709552"," 55.20455)"
"CBOD_35_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_35","Cold Bay Oxeye Daisy",9,"c(-162.47428"," 55.21)"
"CBOD_36_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_36","Cold Bay Oxeye Daisy",9,"c(-162.7"," 55.2)"
"CBOD_37_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_37","Cold Bay Oxeye Daisy",9,"c(-162.709379"," 55.204312)"
"CBOD_38_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_38","Cold Bay Oxeye Daisy",9,"c(-162.71"," 55.2)"
"CBOD_39_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_39","Cold Bay Oxeye Daisy",9,"c(-162.71"," 55.2)"
"CBOD_4_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_4","Cold Bay Oxeye Daisy",3,"c(-162.713101369804"," 55.2068482172714)"
"CBOD_40_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_40","Cold Bay Oxeye Daisy",9,"c(-162.71"," 55.21)"
"CBOD_5_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_5","Cold Bay Oxeye Daisy",0,"c(-162.797201973746"," 55.1675109354246)"
"CBOD_6_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_6","Cold Bay Oxeye Daisy",9,"c(-162.709708639556"," 55.2045329804517)"
"CBOD_7_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_7","Cold Bay Oxeye Daisy",0,"c(-162.71297255093"," 55.2065827039135)"
"CBOD_8_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_8","Cold Bay Oxeye Daisy",0,"c(-162.700649860475"," 55.196086121484)"
"CBOD_9_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_9","Cold Bay Oxeye Daisy",0,"c(-162.713212991639"," 55.2067070054571)"
"CBOH_1_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_1","Cold Bay Orange Hawkweed",0,"c(-162.720865286599"," 55.2032229033672)"
"CBOH_10_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_10","Cold Bay Orange Hawkweed",0,"c(-162.721348090405"," 55.2035213979281)"
"CBOH_100_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_100","Cold Bay Orange Hawkweed",0,"c(-162.7231449583"," 55.2029668951612)"
